FORMULARIO;CODIGO_ACCIDENTE;FECHA;CODIGO_VICTIMA;CODIGO_VEHICULO;TIPO_ACTOR;ESTADO;GENERO;EDAD;GRAVEDAD;CLASE_SINIESTRO;DIRECCION;LONGITUD;LATITUD;CODIGO_LOCALIDAD;TOTAL_HERIDOS;TOTAL_MUERTOS;MOD_VEHICULO;CLASE_VEHICULO;SERVICIO_VEHICULO;CODIGO_CAUSA
A409;10969;21/09/2021;1;2;CONDUCTOR;ILESO;MASCULINO;29;3;1;CL 3  - KR 72   02;-74.138.772.078;4.625.790.435;8;;;2010;7;2;103
A410;10970;21/09/2021;0;1;CONDUCTOR;ILESO;MASCULINO;51;3;1;CL 3  - KR 72   02;-74.138.772.078;4.625.790.435;8;;;2018;1;3;103
A411;10971;16/09/2021;1;2;CONDUCTOR;ILESO;MASCULINO;43;3;1;CL 13  S- KR 22   02;-74.099.449.938;4.588.667.144;15;;;2011;2;2;103
A412;10972;16/09/2021;0;1;CONDUCTOR;ILESO;MASCULINO;25;3;1;CL 13  S- KR 22   02;-74.099.449.938;4.588.667.144;15;;;2007;1;3;103
A413;10973;22/09/2021;1;2;CONDUCTOR;ILESO;MASCULINO;54;2;1;KR 1  - DG 78 BIS S 02;-741.045.970.979.999;451.115.019.600.007;5;1;;1994;1;3;114
A414;10974;22/09/2021;1;2;CONDUCTOR;ILESO;MASCULINO;54;2;1;KR 1  - DG 78 BIS S 02;-741.045.970.979.999;451.115.019.600.007;5;1;;1994;1;3;121
A415;10975;22/09/2021;0;1;CONDUCTOR;HERIDO;MASCULINO;54;2;1;KR 1  - DG 78 BIS S 02;-741.045.970.979.999;451.115.019.600.007;5;1;;1979;6;3;114
A416;10976;22/09/2021;0;1;CONDUCTOR;HERIDO;MASCULINO;54;2;1;KR 1  - DG 78 BIS S 02;-741.045.970.979.999;451.115.019.600.007;5;1;;1979;6;3;121
A417;10977;22/09/2021;1;2;CICLISTA;HERIDO;MASCULINO;24;2;1;KR 104  - CL 57  S 02;-74.196.616.735;464.180.014.300.001;7;1;;;13;0;93
A418;10978;22/09/2021;1;2;CICLISTA;HERIDO;MASCULINO;24;2;1;KR 104  - CL 57  S 02;-74.196.616.735;464.180.014.300.001;7;1;;;13;0;104
A419;10979;22/09/2021;0;1;CONDUCTOR;ILESO;MASCULINO;43;2;1;KR 104  - CL 57  S 02;-74.196.616.735;464.180.014.300.001;7;1;;2017;1;2;93
A420;10980;22/09/2021;0;1;CONDUCTOR;ILESO;MASCULINO;43;2;1;KR 104  - CL 57  S 02;-74.196.616.735;464.180.014.300.001;7;1;;2017;1;2;104
A421;10981;22/09/2021;1;2;CONDUCTOR;ILESO;MASCULINO;26;2;1;KR 3  E- CL 91   02;-74.016.721.017;467.180.875.600.008;2;2;;2014;5;2;112
A422;10982;22/09/2021;0;1;MOTOCICLISTA;HERIDO;MASCULINO;26;2;1;KR 3  E- CL 91   02;-74.016.721.017;467.180.875.600.008;2;2;;2017;10;1;112
A423;10983;22/09/2021;2;1;ACOMPANANTE;HERIDO;MASCULINO;26;2;1;KR 3  E- CL 91   02;-74.016.721.017;467.180.875.600.008;2;2;;2017;10;1;112
A424;10984;22/09/2021;2;3;CONDUCTOR;ILESO;MASCULINO;55;3;1;KR 5  - CL 48 P  S 02;-74.107.945.459;455.222.437.499.998;18;;;2011;5;2;103
A425;10985;22/09/2021;2;3;CONDUCTOR;ILESO;MASCULINO;55;3;1;KR 5  - CL 48 P  S 02;-74.107.945.459;455.222.437.499.998;18;;;2011;5;2;103
A426;10986;22/09/2021;2;3;CONDUCTOR;ILESO;MASCULINO;55;3;1;KR 5  - CL 48 P  S 02;-74.107.945.459;455.222.437.499.998;18;;;2011;5;2;141
A427;10987;22/09/2021;1;2;CONDUCTOR;ILESO;MASCULINO;41;3;1;KR 5  - CL 48 P  S 02;-74.107.945.459;455.222.437.499.998;18;;;2018;1;3;103
A428;10988;22/09/2021;1;2;CONDUCTOR;ILESO;MASCULINO;41;3;1;KR 5  - CL 48 P  S 02;-74.107.945.459;455.222.437.499.998;18;;;2018;1;3;103
A429;10989;22/09/2021;1;2;CONDUCTOR;ILESO;MASCULINO;41;3;1;KR 5  - CL 48 P  S 02;-74.107.945.459;455.222.437.499.998;18;;;2018;1;3;141
A430;10990;22/09/2021;0;1;CONDUCTOR;ILESO;MASCULINO;32;3;1;KR 5  - CL 48 P  S 02;-74.107.945.459;455.222.437.499.998;18;;;2015;9;2;103
A431;10991;22/09/2021;0;1;CONDUCTOR;ILESO;MASCULINO;32;3;1;KR 5  - CL 48 P  S 02;-74.107.945.459;455.222.437.499.998;18;;;2015;9;2;103
A432;10992;22/09/2021;0;1;CONDUCTOR;ILESO;MASCULINO;32;3;1;KR 5  - CL 48 P  S 02;-74.107.945.459;455.222.437.499.998;18;;;2015;9;2;141
A433;10993;8/12/2021;1;2;CONDUCTOR;HERIDO;MASCULINO;42;2;1;CL 134  - KR 10   02;-74.035.024.984;471.370.542.900.002;1;2;;2016;5;3;142
A434;10994;8/12/2021;1;2;CONDUCTOR;HERIDO;MASCULINO;42;2;1;CL 134  - KR 10   02;-74.035.024.984;471.370.542.900.002;1;2;;2016;5;3;142
A435;10995;8/12/2021;0;1;MOTOCICLISTA;HERIDO;MASCULINO;38;2;1;CL 134  - KR 10   02;-74.035.024.984;471.370.542.900.002;1;2;;2019;10;3;142
A436;10996;8/12/2021;0;1;MOTOCICLISTA;HERIDO;MASCULINO;38;2;1;CL 134  - KR 10   02;-74.035.024.984;471.370.542.900.002;1;2;;2019;10;3;142
A437;10997;8/12/2021;1;2;CONDUCTOR;HERIDO;FEMENINO;57;2;1;CL 146  - KR 12 A  02;-74.036.217.278;472.589.084.800.001;1;2;;2018;5;3;112
A438;10998;8/12/2021;0;1;CONDUCTOR;HERIDO;MASCULINO;38;2;1;CL 146  - KR 12 A  02;-74.036.217.278;472.589.084.800.001;1;2;;2008;1;2;112
A439;10999;8/12/2021;1;2;MOTOCICLISTA;HERIDO;MASCULINO;43;2;1;KR 80  - CL 10   02;-74.142.796.034;4.644.840.354;8;3;;2020;10;3;122
A440;11000;8/12/2021;2;2;ACOMPANANTE;HERIDO;MASCULINO;22;2;1;KR 80  - CL 10   02;-74.142.796.034;4.644.840.354;8;3;;2020;10;3;122
A441;11001;8/12/2021;1;2;MOTOCICLISTA;HERIDO;MASCULINO;43;2;1;KR 80  - CL 10   02;-74.142.796.034;4.644.840.354;8;3;;2020;10;3;157
A442;11002;8/12/2021;2;2;ACOMPANANTE;HERIDO;MASCULINO;22;2;1;KR 80  - CL 10   02;-74.142.796.034;4.644.840.354;8;3;;2020;10;3;157
A443;11003;8/12/2021;1;2;MOTOCICLISTA;HERIDO;MASCULINO;43;2;1;KR 80  - CL 10   02;-74.142.796.034;4.644.840.354;8;3;;2020;10;3;157
A444;11004;8/12/2021;2;2;ACOMPANANTE;HERIDO;MASCULINO;22;2;1;KR 80  - CL 10   02;-74.142.796.034;4.644.840.354;8;3;;2020;10;3;157
A445;11005;8/12/2021;0;1;CONDUCTOR;HERIDO;MASCULINO;31;2;1;KR 80  - CL 10   02;-74.142.796.034;4.644.840.354;8;3;;2006;1;3;122
A446;11006;8/12/2021;0;1;CONDUCTOR;HERIDO;MASCULINO;31;2;1;KR 80  - CL 10   02;-74.142.796.034;4.644.840.354;8;3;;2006;1;3;157
A447;11007;8/12/2021;0;1;CONDUCTOR;HERIDO;MASCULINO;31;2;1;KR 80  - CL 10   02;-74.142.796.034;4.644.840.354;8;3;;2006;1;3;157
A448;11008;8/12/2021;1;2;CONDUCTOR;ILESO;MASCULINO;17;2;1;DG 61 B  - TV 25   02;-74.073.942.199;464.693.622.300.001;13;1;;2018;6;3;157
A449;11009;8/12/2021;1;2;CONDUCTOR;ILESO;MASCULINO;17;2;1;DG 61 B  - TV 25   02;-74.073.942.199;464.693.622.300.001;13;1;;2018;6;3;157
A450;11010;8/12/2021;0;1;MOTOCICLISTA;HERIDO;MASCULINO;34;2;1;DG 61 B  - TV 25   02;-74.073.942.199;464.693.622.300.001;13;1;;2018;10;3;157
A451;11011;8/12/2021;0;1;MOTOCICLISTA;HERIDO;MASCULINO;34;2;1;DG 61 B  - TV 25   02;-74.073.942.199;464.693.622.300.001;13;1;;2018;10;3;157
A452;11012;8/12/2021;2;3;CONDUCTOR;ILESO;MASCULINO;40;2;1;AV AVENIDA CIUDAD DE CALI - CL 11   22;-7.414.470.039;4.651.462.239;8;1;;2010;1;3;121
A453;11013;8/12/2021;1;2;MOTOCICLISTA;HERIDO;MASCULINO;27;2;1;AV AVENIDA CIUDAD DE CALI - CL 11   22;-7.414.470.039;4.651.462.239;8;1;;2012;10;3;121
A454;11014;8/12/2021;0;1;CONDUCTOR;ILESO;MASCULINO;38;2;1;AV AVENIDA CIUDAD DE CALI - CL 11   22;-7.414.470.039;4.651.462.239;8;1;;2014;5;2;121
A455;11015;7/12/2021;1;2;CICLISTA;HERIDO;MASCULINO;23;2;1;KR 77 J  - CL 65 A  S 02;-74.181.421.722;459.864.910.599.998;7;1;;;13;0;132
A456;11016;7/12/2021;0;1;CONDUCTOR;ILESO;MASCULINO;29;2;1;KR 77 J  - CL 65 A  S 02;-74.181.421.722;459.864.910.599.998;7;1;;2021;5;3;132
A457;11017;8/12/2021;0;1;MOTOCICLISTA;ILESO;MASCULINO;19;2;3;KR 1  - CL 12   02;-74.069.605.191;459.602.899.200.002;3;1;;2019;10;3;157
A458;11018;8/12/2021;1;1;ACOMPANANTE;HERIDO;FEMENINO;18;2;3;KR 1  - CL 12   02;-74.069.605.191;459.602.899.200.002;3;1;;2019;10;3;157
A459;11019;9/12/2021;1;2;MOTOCICLISTA;HERIDO;MASCULINO;32;2;1;KR 5  - CL 10  S 02;-74.084.715.163;457.816.092.399.997;4;2;;2009;10;3;112
A460;11020;9/12/2021;0;1;MOTOCICLISTA;HERIDO;MASCULINO;30;2;1;KR 5  - CL 10  S 02;-74.084.715.163;457.816.092.399.997;4;2;;2021;10;3;112
A461;11021;6/12/2021;1;2;CONDUCTOR;ILESO;MASCULINO;25;3;1;CL 139  - KR 96 A  02;-7.409.018.873;473.884.911.599.998;11;;;2018;1;3;121
A462;11022;6/12/2021;0;1;CONDUCTOR;ILESO;MASCULINO;30;3;1;CL 139  - KR 96 A  02;-7.409.018.873;473.884.911.599.998;11;;;2016;6;3;121
A463;11023;6/12/2021;1;2;CONDUCTOR;ILESO;MASCULINO;29;3;1;CL 11 F  - KR 72 A  02;-74.132.997.455;464.489.097.699.999;8;;;2011;5;3;103
A464;11024;6/12/2021;0;1;CONDUCTOR;ILESO;FEMENINO;43;3;1;CL 11 F  - KR 72 A  02;-74.132.997.455;464.489.097.699.999;8;;;2020;5;3;103
A465;11025;9/12/2021;1;;PEATON;HERIDO;FEMENINO;49;2;2;KR 72  - CL 152 B  02;-74.065.381.985;4.739.810.261;11;1;;;;;409
A466;11026;9/12/2021;0;1;CONDUCTOR;ILESO;FEMENINO;72;2;2;KR 72  - CL 152 B  02;-74.065.381.985;4.739.810.261;11;1;;2003;6;3;409
A467;11027;7/12/2021;1;2;CONDUCTOR;ILESO;MASCULINO;31;3;1;KR 85 A  - CL 46 A  02;-74.115.473.128;467.698.811.499.997;10;;;2009;1;3;157
A468;11028;7/12/2021;1;2;CONDUCTOR;ILESO;MASCULINO;31;3;1;KR 85 A  - CL 46 A  02;-74.115.473.128;467.698.811.499.997;10;;;2009;1;3;157
A469;11029;7/12/2021;0;1;CONDUCTOR;ILESO;MASCULINO;57;3;1;KR 85 A  - CL 46 A  02;-74.115.473.128;467.698.811.499.997;10;;;2009;1;2;157
A470;11030;7/12/2021;0;1;CONDUCTOR;ILESO;MASCULINO;57;3;1;KR 85 A  - CL 46 A  02;-74.115.473.128;467.698.811.499.997;10;;;2009;1;2;157
A471;11031;8/09/2021;2;3;CONDUCTOR;ILESO;MASCULINO;60;3;1;KR 70  - CL 220   02;-74.028;4.785;1;;;2018;5;3;121
A472;11032;8/09/2021;1;2;CONDUCTOR;ILESO;FEMENINO;58;3;1;KR 70  - CL 220   02;-74.028;4.785;1;;;2014;6;3;121
A473;11033;8/09/2021;0;1;CONDUCTOR;ILESO;MASCULINO;28;3;1;KR 70  - CL 220   02;-74.028;4.785;1;;;2014;4;2;121
A474;11034;9/09/2021;1;2;MOTOCICLISTA;ILESO;MASCULINO;24;3;1;KR 13  - CL 34   02;-74.068.173.854;462.213.863.699.998;3;;;2000;10;3;121
A475;11035;9/09/2021;0;1;CONDUCTOR;ILESO;FEMENINO;36;3;1;KR 13  - CL 34   02;-74.068.173.854;462.213.863.699.998;3;;;2017;5;3;121
A476;11036;10/09/2021;1;2;MOTOCICLISTA;ILESO;MASCULINO;27;3;1;TV 53  - CL 1  S 02;-74.121.867.381;461.227.928.400.001;16;;;2021;10;3;98
A477;11037;10/09/2021;0;1;CONDUCTOR;ILESO;MASCULINO;70;3;1;TV 53  - CL 1  S 02;-74.121.867.381;461.227.928.400.001;16;;;2012;5;3;98
A478;11038;9/09/2021;1;2;CONDUCTOR;ILESO;MASCULINO;27;3;1;CL 26  - KR 103   02;-74.140.123.758;467.955.209.199.999;9;;;2013;5;3;103
A479;11039;9/09/2021;0;1;CONDUCTOR;ILESO;FEMENINO;37;3;1;CL 26  - KR 103   02;-74.140.123.758;467.955.209.199.999;9;;;2021;5;3;103
A480;11040;9/09/2021;1;2;MOTOCICLISTA;ILESO;MASCULINO;32;3;1;CL 153  - KR 58 C  02;-74.062.741.299;474.162.368.600.003;11;;;2017;10;3;112
A481;11041;9/09/2021;0;1;CONDUCTOR;ILESO;FEMENINO;43;3;1;CL 153  - KR 58 C  02;-74.062.741.299;474.162.368.600.003;11;;;2019;5;3;112
A482;11042;9/09/2021;1;2;CONDUCTOR;ILESO;MASCULINO;40;3;1;AC 100  - KR 53   02;-740.634.888.643.792;468.880.117.649.864;11;;;2013;1;2;142
A483;11043;9/09/2021;1;2;CONDUCTOR;ILESO;MASCULINO;40;3;1;AC 100  - KR 53   02;-740.634.888.643.792;468.880.117.649.864;11;;;2013;1;2;142
A484;11044;9/09/2021;0;1;CONDUCTOR;ILESO;MASCULINO;60;3;1;AC 100  - KR 53   02;-740.634.888.643.792;468.880.117.649.864;11;;;2014;1;2;142
A485;11045;9/09/2021;0;1;CONDUCTOR;ILESO;MASCULINO;60;3;1;AC 100  - KR 53   02;-740.634.888.643.792;468.880.117.649.864;11;;;2014;1;2;142
A486;11046;10/09/2021;1;2;CONDUCTOR;ILESO;MASCULINO;47;3;1;KR 68  - CL 95   02;-7.407.601.901;468.617.702.800.003;12;;;2016;1;2;157
A487;11047;10/09/2021;0;1;CONDUCTOR;ILESO;MASCULINO;60;3;1;KR 68  - CL 95   02;-7.407.601.901;468.617.702.800.003;12;;;2019;3;2;157
A488;11048;8/09/2021;1;2;CONDUCTOR;ILESO;MASCULINO;34;3;1;CL 22  S- KR 24 D  34;-74.106.373.276;458.624.493.299.999;15;;;2017;1;2;157
A489;11049;8/09/2021;1;2;CONDUCTOR;ILESO;MASCULINO;34;3;1;CL 22  S- KR 24 D  34;-74.106.373.276;458.624.493.299.999;15;;;2017;1;2;157
A490;11050;8/09/2021;0;1;CONDUCTOR;ILESO;MASCULINO;29;3;1;CL 22  S- KR 24 D  34;-74.106.373.276;458.624.493.299.999;15;;;2003;7;2;157
A491;11051;8/09/2021;0;1;CONDUCTOR;ILESO;MASCULINO;29;3;1;CL 22  S- KR 24 D  34;-74.106.373.276;458.624.493.299.999;15;;;2003;7;2;157
A492;11052;10/09/2021;1;;PEATON;HERIDO;FEMENINO;40;2;2;CL 19  - KR 16 A  57;-7.407.886.026;461.027.519.499.999;14;1;;;;;411
A493;11053;10/09/2021;0;1;CONDUCTOR;ILESO;MASCULINO;49;2;2;CL 19  - KR 16 A  57;-7.407.886.026;461.027.519.499.999;14;1;;2015;1;3;411
A494;11054;11/09/2021;1;2;CONDUCTOR;ILESO;MASCULINO;50;3;1;CL 59  S- KR 80   02;-7.418.108.521;460.913.501.200.002;7;;;1990;9;2;103
A495;11055;11/09/2021;1;2;CONDUCTOR;ILESO;MASCULINO;50;3;1;CL 59  S- KR 80   02;-7.418.108.521;460.913.501.200.002;7;;;1990;9;2;302
A496;11056;11/09/2021;0;1;CONDUCTOR;ILESO;MASCULINO;38;3;1;CL 59  S- KR 80   02;-7.418.108.521;460.913.501.200.002;7;;;2006;1;3;103
A497;11057;11/09/2021;0;1;CONDUCTOR;ILESO;MASCULINO;38;3;1;CL 59  S- KR 80   02;-7.418.108.521;460.913.501.200.002;7;;;2006;1;3;302
A498;11058;9/09/2021;1;2;CONDUCTOR;ILESO;MASCULINO;43;3;1;AV AVENIDA DE LAS AMERICAS - CL 60   34;-74.115.665.736;462.881.580.499.999;16;;;2012;1;3;103
A499;11059;9/09/2021;0;1;CONDUCTOR;ILESO;MASCULINO;32;3;1;AV AVENIDA DE LAS AMERICAS - CL 60   34;-74.115.665.736;462.881.580.499.999;16;;;2007;1;3;103
A500;11060;9/09/2021;2;3;MOTOCICLISTA;ILESO;MASCULINO;48;3;1;CL 59  S- KR 77 H  02;-74.177.773.851;459.877.482.899.998;7;;;2005;10;3;103
A501;11061;9/09/2021;2;3;MOTOCICLISTA;ILESO;MASCULINO;48;3;1;CL 59  S- KR 77 H  02;-74.177.773.851;459.877.482.899.998;7;;;2005;10;3;121
A502;11062;9/09/2021;1;2;MOTOCICLISTA;ILESO;MASCULINO;32;3;1;CL 59  S- KR 77 H  02;-74.177.773.851;459.877.482.899.998;7;;;2021;10;3;103
A503;11063;9/09/2021;1;2;MOTOCICLISTA;ILESO;MASCULINO;32;3;1;CL 59  S- KR 77 H  02;-74.177.773.851;459.877.482.899.998;7;;;2021;10;3;121
A504;11064;9/09/2021;0;1;CONDUCTOR;ILESO;MASCULINO;50;3;1;CL 59  S- KR 77 H  02;-74.177.773.851;459.877.482.899.998;7;;;2020;1;3;103
A505;11065;9/09/2021;0;1;CONDUCTOR;ILESO;MASCULINO;50;3;1;CL 59  S- KR 77 H  02;-74.177.773.851;459.877.482.899.998;7;;;2020;1;3;121
A506;11066;10/09/2021;1;2;CONDUCTOR;ILESO;MASCULINO;37;2;1;CL 132  - KR 105 B  02;-74.100.943.844;473.675.735.400.002;11;1;;2015;1;3;122
A507;11067;10/09/2021;0;1;MOTOCICLISTA;HERIDO;MASCULINO;54;2;1;CL 132  - KR 105 B  02;-74.100.943.844;473.675.735.400.002;11;1;;2017;10;3;122
A508;11068;9/09/2021;1;2;CONDUCTOR;ILESO;MASCULINO;35;3;1;CL 80  - KR 119   02;-74.125.106.952;472.596.269.500.002;10;;;2011;2;2;103
A509;11069;9/09/2021;0;1;CONDUCTOR;ILESO;MASCULINO;32;3;1;CL 80  - KR 119   02;-74.125.106.952;472.596.269.500.002;10;;;2019;1;3;103
A510;11070;10/09/2021;1;2;CONDUCTOR;HERIDO;MASCULINO;23;2;1;CL 171  - KR 110   02;-74.100.501;4.746.164.378;11;2;;2010;1;3;104
A511;11071;10/09/2021;1;2;CONDUCTOR;HERIDO;MASCULINO;23;2;1;CL 171  - KR 110   02;-74.100.501;4.746.164.378;11;2;;2010;1;3;114
A512;11072;10/09/2021;0;1;MOTOCICLISTA;HERIDO;MASCULINO;24;2;1;CL 171  - KR 110   02;-74.100.501;4.746.164.378;11;2;;2021;10;3;104
A513;11073;10/09/2021;0;1;MOTOCICLISTA;HERIDO;MASCULINO;24;2;1;CL 171  - KR 110   02;-74.100.501;4.746.164.378;11;2;;2021;10;3;114
A514;11074;13/09/2021;1;2;MOTOCICLISTA;ILESO;MASCULINO;43;2;1;CL 26  - KR 68 A  02;-74.107.789.538;465.098.075.700.001;9;1;;2016;10;3;121
A515;11075;13/09/2021;1;2;MOTOCICLISTA;ILESO;MASCULINO;43;2;1;CL 26  - KR 68 A  02;-74.107.789.538;465.098.075.700.001;9;1;;2016;10;3;157
A516;11076;13/09/2021;0;1;MOTOCICLISTA;HERIDO;MASCULINO;29;2;1;CL 26  - KR 68 A  02;-74.107.789.538;465.098.075.700.001;9;1;;2015;10;3;121
A517;11077;13/09/2021;0;1;MOTOCICLISTA;HERIDO;MASCULINO;29;2;1;CL 26  - KR 68 A  02;-74.107.789.538;465.098.075.700.001;9;1;;2015;10;3;157
A518;11078;10/09/2021;1;2;CONDUCTOR;ILESO;MASCULINO;32;3;1;KR 11  - CL 93 A  02;-74.046.788.687;467.569.532.700.003;2;;;2014;6;3;132
A519;11079;10/09/2021;0;1;CONDUCTOR;ILESO;MASCULINO;36;3;1;KR 11  - CL 93 A  02;-74.046.788.687;467.569.532.700.003;2;;;2019;6;1;132
A520;11080;13/09/2021;1;2;CICLISTA;HERIDO;MASCULINO;39;2;1;CL 43  S- KR 81   02;-74.167.458.279;462.386.481.999.999;8;1;;;13;0;104
A521;11081;13/09/2021;0;1;CICLISTA;ILESO;MASCULINO;50;2;1;CL 43  S- KR 81   02;-74.167.458.279;462.386.481.999.999;8;1;;;13;0;104
A522;11082;9/09/2021;1;2;CONDUCTOR;ILESO;MASCULINO;41;3;1;CL 112  - KR 70 B  02;-7.407.154.281;469.838.413.100.001;11;;;2009;1;2;112
A523;11083;9/09/2021;0;1;MOTOCICLISTA;ILESO;MASCULINO;41;3;1;CL 112  - KR 70 B  02;-7.407.154.281;469.838.413.100.001;11;;;2017;10;3;112
A524;11084;9/09/2021;1;2;MOTOCICLISTA;ILESO;MASCULINO;26;3;1;KR 12 D  - CL 18  S 02;-740.982.124;458.153.288.099.999;15;;;2021;10;3;121
A525;11085;9/09/2021;0;1;CONDUCTOR;ILESO;FEMENINO;33;3;1;KR 12 D  - CL 18  S 02;-740.982.124;458.153.288.099.999;15;;;2020;1;3;121
A526;11086;10/09/2021;1;2;MOTOCICLISTA;ILESO;MASCULINO;26;3;1;CL 72  - KR 10   02;-74.057.834.306;4.656.333.523;2;;;2016;10;3;121
A527;11087;10/09/2021;0;1;CONDUCTOR;ILESO;MASCULINO;24;3;1;CL 72  - KR 10   02;-74.057.834.306;4.656.333.523;2;;;2021;1;3;121
A528;11088;11/09/2021;0;1;CONDUCTOR;ILESO;MASCULINO;32;3;2;CL 142 A  - KR 136 A  02;-74.111.165.106;475.168.362.699.998;11;;;2021;2;2;157
A529;11089;10/09/2021;1;2;CONDUCTOR;ILESO;FEMENINO;52;3;1;TV 76  - DG 84   02;-7.409.247.113;470.553.944.900.001;10;;;2011;5;3;134
A530;11090;10/09/2021;0;1;CONDUCTOR;ILESO;MASCULINO;34;3;1;TV 76  - DG 84   02;-7.409.247.113;470.553.944.900.001;10;;;2016;5;2;134
A531;11091;10/09/2021;1;2;CONDUCTOR;ILESO;MASCULINO;21;3;1;KR 30  - CL 42   02;-7.407.934.445;463.321.910.299.999;13;;;2012;5;3;103
A532;11092;10/09/2021;0;1;CONDUCTOR;ILESO;MASCULINO;38;3;1;KR 30  - CL 42   02;-7.407.934.445;463.321.910.299.999;13;;;2016;4;2;103
A533;11093;11/09/2021;1;2;CONDUCTOR;ILESO;MASCULINO;27;3;1;CL 116  - KR 52   02;-74.061.425.661;470.069.462.999.999;11;;;2011;2;2;103
A534;11094;11/09/2021;0;1;CONDUCTOR;ILESO;FEMENINO;52;3;1;CL 116  - KR 52   02;-74.061.425.661;470.069.462.999.999;11;;;2020;1;3;103
A535;11095;11/09/2021;1;2;CONDUCTOR;ILESO;FEMENINO;38;3;1;CL 26  - KR 110   02;-74.146.742.815;468.279.398.300.001;9;;;2019;1;3;121
A536;11096;11/09/2021;0;1;CONDUCTOR;ILESO;MASCULINO;19;3;1;CL 26  - KR 110   02;-74.146.742.815;468.279.398.300.001;9;;;2015;1;2;121
A537;11097;12/09/2021;0;1;MOTOCICLISTA;HERIDO;MASCULINO;24;2;3;CL 63  - KR 15   02;-74.065.764.295;464.993.093.800.001;12;1;;2021;10;3;157
A538;11098;12/09/2021;0;1;MOTOCICLISTA;HERIDO;MASCULINO;36;2;3;CL 36  - KR 28 B  26;-74.078.487.036;462.518.846.099.999;13;1;;2000;10;3;114
A539;11099;12/09/2021;0;1;MOTOCICLISTA;HERIDO;MASCULINO;36;2;3;CL 36  - KR 28 B  26;-74.078.487.036;462.518.846.099.999;13;1;;2000;10;3;157
A540;11100;12/09/2021;0;1;CONDUCTOR;ILESO;MASCULINO;33;2;4;KR 15  - CL 77   02;-74.058.548.772;466.404.328.099.998;2;1;;2014;2;2;119
A541;11101;12/09/2021;1;1;PASAJERO;HERIDO;FEMENINO;27;2;4;KR 15  - CL 77   02;-74.058.548.772;466.404.328.099.998;2;1;;2014;2;2;119
A542;11102;12/09/2021;0;1;CONDUCTOR;ILESO;MASCULINO;33;2;4;KR 15  - CL 77   02;-74.058.548.772;466.404.328.099.998;2;1;;2014;2;2;506
A543;11103;12/09/2021;1;1;PASAJERO;HERIDO;FEMENINO;27;2;4;KR 15  - CL 77   02;-74.058.548.772;466.404.328.099.998;2;1;;2014;2;2;506
A544;11104;14/09/2021;1;;PEATON;MUERTO;FEMENINO;77;1;2;KR 68  - CL 80   76;-740.790.025.909.999;468.387.068.100.003;12;1;1;;;;411
A545;11105;14/09/2021;0;1;CONDUCTOR;HERIDO;MASCULINO;41;1;2;KR 68  - CL 80   76;-740.790.025.909.999;468.387.068.100.003;12;1;1;2018;4;2;411
A546;11106;14/09/2021;1;;PEATON;HERIDO;FEMENINO;12;2;2;KR 95 A  - CL 80 BIS S 02;-74.209;4.628;7;1;;;;;157
A547;11107;14/09/2021;0;1;CONDUCTOR;;;;2;2;KR 95 A  - CL 80 BIS S 02;-74.209;4.628;7;1;;;0;0;157
A548;11108;28/09/2021;2;3;CONDUCTOR;ILESO;MASCULINO;35;3;1;AV AVENIDA DE LAS AMERICAS - KR 85   02;-74.156;4.64;8;;;2013;9;2;121
A549;11109;28/09/2021;1;2;CONDUCTOR;ILESO;MASCULINO;38;3;1;AV AVENIDA DE LAS AMERICAS - KR 85   02;-74.156;4.64;8;;;2006;1;3;121
A550;11110;28/09/2021;0;1;CONDUCTOR;ILESO;MASCULINO;57;3;1;AV AVENIDA DE LAS AMERICAS - KR 85   02;-74.156;4.64;8;;;1996;5;3;121
A551;11111;24/09/2021;1;2;CONDUCTOR;ILESO;MASCULINO;63;3;1;CL 94  - KR 7   02;-74.041.382.877;467.483.302.900.001;2;;;2019;5;3;103
A552;11112;24/09/2021;0;1;CONDUCTOR;ILESO;MASCULINO;42;3;1;CL 94  - KR 7   02;-74.041.382.877;467.483.302.900.001;2;;;2020;5;3;103
A553;11113;24/09/2021;2;3;CONDUCTOR;;;;3;1;CL 24  - KR 90   02;-74.126.835.687;467.349.746.399.998;9;;;;0;0;115
A554;11114;24/09/2021;1;2;CONDUCTOR;ILESO;MASCULINO;41;3;1;CL 24  - KR 90   02;-74.126.835.687;467.349.746.399.998;9;;;2020;6;3;115
A555;11115;24/09/2021;0;1;CONDUCTOR;ILESO;MASCULINO;31;3;1;CL 24  - KR 90   02;-74.126.835.687;467.349.746.399.998;9;;;1953;4;3;115
A556;11116;24/09/2021;1;2;CONDUCTOR;ILESO;MASCULINO;35;3;1;AU NORTE - CL 198   02;-740.419.978.899.999;477.661.581.000.007;1;;;2009;2;2;103
A557;11117;24/09/2021;1;2;CONDUCTOR;ILESO;MASCULINO;35;3;1;AU NORTE - CL 198   02;-740.419.978.899.999;477.661.581.000.007;1;;;2009;2;2;103
A558;11118;24/09/2021;0;1;CONDUCTOR;ILESO;MASCULINO;32;3;1;AU NORTE - CL 198   02;-740.419.978.899.999;477.661.581.000.007;1;;;2019;1;3;103
A559;11119;24/09/2021;0;1;CONDUCTOR;ILESO;MASCULINO;32;3;1;AU NORTE - CL 198   02;-740.419.978.899.999;477.661.581.000.007;1;;;2019;1;3;103
